Tarih,TP_BISKREDIGSYIH_QFR3
2000-01-01,-2.8
2000-04-01,-1.6
2000-07-01,0.0
2000-10-01,0.3
2001-01-01,1.4
2001-04-01,2.9
2001-07-01,3.1
2001-10-01,3.4
2002-01-01,3.4
2002-04-01,2.6
2002-07-01,1.7
2002-10-01,1.5
2003-01-01,1.8
2003-04-01,1.6
2003-07-01,0.5
2003-10-01,-1.2
2004-01-01,-1.3
2004-04-01,-0.1
2004-07-01,0.2
2004-10-01,0.0
2005-01-01,-0.4
2005-04-01,1.3
2005-07-01,0.9
2005-10-01,1.7
2006-01-01,1.9
2006-04-01,2.9
2006-07-01,2.8
2006-10-01,3.4
2007-01-01,3.4
2007-04-01,5.0
2007-07-01,5.1
2007-10-01,4.4
2008-01-01,4.4
2008-04-01,6.4
2008-07-01,7.8
2008-10-01,7.9
2009-01-01,9.3
2009-04-01,10.2
2009-07-01,10.6
2009-10-01,10.5
2010-01-01,9.0
2010-04-01,7.4
2010-07-01,6.0
2010-10-01,6.5
2011-01-01,6.0
2011-04-01,7.5
2011-07-01,8.7
2011-10-01,8.7
2012-01-01,9.4
2012-04-01,10.2
2012-07-01,8.9
2012-10-01,8.1
2013-01-01,6.7
2013-04-01,3.9
2013-07-01,3.3
2013-10-01,1.8
2014-01-01,2.7
2014-04-01,4.0
2014-07-01,4.2
2014-10-01,4.2
2015-01-01,5.6
2015-04-01,4.8
2015-07-01,4.4
2015-10-01,5.1
2016-01-01,3.1
2016-04-01,4.3
2016-07-01,4.5
2016-10-01,5.0
2017-01-01,5.9
2017-04-01,5.0
2017-07-01,3.7
2017-10-01,2.9
2018-01-01,3.1
2018-04-01,3.9
2018-07-01,3.7
2018-10-01,3.2
2019-01-01,3.7
2019-04-01,4.3
2019-07-01,5.2
2019-10-01,4.2
2020-01-01,7.0
2020-04-01,19.8
2020-07-01,22.1
2020-10-01,23.8
2021-01-01,19.7
2021-04-01,11.3
2021-07-01,7.6
2021-10-01,4.8
2022-01-01,2.0
2022-04-01,0.2
2022-07-01,0.0
2022-10-01,-1.9
2023-01-01,-5.4
2023-04-01,-8.7
2023-07-01,-11.3
2023-10-01,-12.8
2024-01-01,-16.0
2024-04-01,-15.7
2024-07-01,-15.4
2024-10-01,-14.9
2025-01-01,-15.6
